source_id,title,published_date,url,publisher,scope,trust_level,notes
rmuc_2026_intro,RoboMaster 机甲大师超级对抗赛介绍,,https://www.robomaster.com/zh-CN/robo/rm,RoboMaster,2026赛季介绍/赛程/报名资格,official,区域赛2026年5-6月；复活赛和全国赛2026年7-8月
rmuc_2026_registration,RoboMaster 2026机甲大师高校系列赛报名名单公示,2025-11-25,https://www.robomaster.com/zh-CN/resource/pages/announcement/1891,RoboMaster,2026报名名单,official,覆盖RMUC报名队伍
rmuc_2026_season_plan,RoboMaster 2026机甲大师超级对抗赛赛季规划通过名单,2025-12-10,https://www.robomaster.com/zh-CN/resource/pages/announcement/1892,RoboMaster,赛季规划等级,official,早期备赛质量信号
rmuc_2026_rule_test,RoboMaster 2026机甲大师超级对抗赛规则测评通过名单,2025-12-30,https://www.robomaster.com/zh-CN/resource/pages/announcement/1898,RoboMaster,规则测评通过名单,official,资格链路信号
rmuc_2026_midterm,RoboMaster 2026机甲大师超级对抗赛中期进度文档通过名单,2026-02-11,https://www.robomaster.com/zh-CN/resource/pages/announcement/1906,RoboMaster,中期进度等级,official,机器人完成度/项目管理信号
rmuc_2026_complete_form,RoboMaster 2026机甲大师超级对抗赛完整形态考核通过名单,2026-04-01,https://www.robomaster.com/zh-CN/resource/pages/announcement/1909,RoboMaster,完整形态展示排名与金币加成,official,区域赛前最关键技术评审信号
rmuc_2026_pilot_test,RoboMaster 2026 机甲大师超级对抗赛飞手考核结果公示,2026-04-09,https://www.robomaster.com/zh-CN/resource/pages/announcement/1911,RoboMaster,飞手考核,official,空中机器人可起飞资格信号
rmuc_2026_regional_teams,RoboMaster 2026机甲大师超级对抗赛区域赛参赛名单,2026-04-13,https://www.robomaster.com/zh-CN/resource/pages/announcement/1912,RoboMaster,区域赛参赛名单/晋级名额,official,当前预测主表
rmu_2025_ranking,RoboMaster 机甲大师高校积分榜完整版（截止至2025年8月）,2025-10-21,https://www.robomaster.com/zh-CN/resource/pages/announcement/1884,RoboMaster,高校积分榜,official,历史实力基线
rmuc_2025_regional_awards,RoboMaster 2025机甲大师超级对抗赛区域赛获奖名单,2025-06-06,https://www.robomaster.com/zh-CN/resource/pages/announcement/1847,RoboMaster,2025区域赛成绩,official,历史区域赛表现
rmuc_2025_final_recap,RoboMaster 2025机甲大师超级对抗赛·全国赛在深圳收官,2025-08-03,https://www.stdaily.com/web/gdxw/2025-08/03/content_379832.html,科技日报,2025全国赛前四与技术亮点,media_official,补充全国赛结果和技术描述
rmuc_2023_national_awards_html,RoboMaster 2023机甲大师超级对抗赛全国赛获奖名单,2023-08-18,https://www.robomaster.com/zh-CN/resource/pages/announcement/1617,RoboMaster,2023全国赛获奖附件页,official,页面链接官方XLSX附件
rmuc_2023_national_awards_xlsx,RoboMaster 2023机甲大师超级对抗赛全国赛获奖名单XLSX,2023-08-18,https://terra-1-g.djicdn.com/b2a076471c6c4b72b574a977334d3e05/RM2023/RoboMaster%202023%E6%9C%BA%E7%94%B2%E5%A4%A7%E5%B8%88%E8%B6%85%E7%BA%A7%E5%AF%B9%E6%8A%97%E8%B5%9B%E5%85%A8%E5%9B%BD%E8%B5%9B%E8%8E%B7%E5%A5%96%E5%90%8D%E5%8D%95.xlsx,RoboMaster,2023全国赛获奖名单,official_xlsx,由官方公告页链接
rmuc_2023_regional_awards_html,RoboMaster 2023机甲大师超级对抗赛区域赛获奖名单,2023-06-30,https://www.robomaster.com/zh-CN/resource/pages/announcement/1607,RoboMaster,2023区域赛获奖附件页,official,页面链接官方XLSX附件
